Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,114.410004,114.849998,111.540001,111.949997,44565300,109.480436
2014-12-09,110.190002,114.300003,109.349998,114.120003,60208000,111.602573
2014-12-08,114.099998,114.650002,111.620003,112.400002,57664900,109.920514
2014-12-05,115.989998,116.080002,114.639999,115.00,38318900,112.463157
2014-12-04,115.769997,117.199997,115.290001,115.489998,42044500,112.942346
2014-12-03,115.75,116.349998,115.110001,115.93,43063400,113.372642
2014-12-02,113.50,115.75,112.75,114.629997,59348900,112.101317
2014-12-01,118.809998,119.25,111.269997,115.07,83814000,112.531613
2014-11-28,119.269997,119.400002,118.050003,118.93,24814400,116.306464
2014-11-26,117.940002,119.099998,117.830002,119.00,40768300,116.374919
2014-11-25,119.07,119.75,117.449997,117.599998,68840400,115.005801
2014-11-24,116.849998,118.769997,116.620003,118.629997,47450800,116.013079
2014-11-21,117.510002,117.57,116.029999,116.470001,57179300,113.900731
2014-11-20,114.910004,116.860001,114.849998,116.309998,43395500,113.744257
2014-11-19,115.440002,115.739998,113.800003,114.669998,41869200,112.140435
2014-11-18,113.940002,115.690002,113.889999,115.470001,44224000,112.922791
2014-11-17,114.269997,117.279999,113.300003,113.989998,46746700,111.475435
2014-11-14,113.150002,114.190002,111.209999,114.18,44063600,111.661247
2014-11-13,111.800003,113.449997,111.599998,112.82,59522900,110.331247
2014-11-12,109.379997,111.43,109.370003,111.25,46942400,108.795881
2014-11-11,108.699997,109.75,108.400002,109.699997,27442300,107.28007
2014-11-10,109.019997,109.330002,108.669998,108.830002,27195500,106.429266
2014-11-07,108.75,109.32,108.550003,109.010002,33691500,106.605296
2014-11-06,108.599998,108.790001,107.800003,108.699997,34968500,106.302129
2014-11-05,109.099998,109.300003,108.129997,108.860001,37435900,105.998973
2014-11-04,109.360001,109.489998,107.720001,108.599998,41574400,105.745804
2014-11-03,108.220001,110.300003,108.010002,109.400002,52282600,106.524782
2014-10-31,108.010002,108.040001,107.209999,108.00,44639300,105.161575
2014-10-30,106.959999,107.349998,105.900002,106.980003,40654800,104.168385
2014-10-29,106.650002,107.370003,106.360001,107.339996,52687900,104.518917
2014-10-28,105.400002,106.739998,105.349998,106.739998,48060900,103.934688
2014-10-27,104.849998,105.480003,104.699997,105.110001,34187700,102.34753
2014-10-24,105.18,105.489998,104.529999,105.220001,47053900,102.454639
2014-10-23,104.080002,105.050003,103.629997,104.830002,71074700,102.07489
2014-10-22,102.839996,104.110001,102.599998,102.989998,68263100,100.283244
2014-10-21,103.019997,103.019997,101.269997,102.470001,94623900,99.776914
2014-10-20,98.32,99.959999,98.220001,99.760002,77517300,97.138138
2014-10-17,97.50,99.00,96.809998,97.669998,68179700,95.103063
2014-10-16,95.550003,97.720001,95.410004,96.260002,72154500,93.730124
2014-10-15,97.970001,99.150002,95.18,97.540001,100933600,94.976482
2014-10-14,100.389999,100.519997,98.57,98.75,63688600,96.154681
2014-10-13,101.330002,101.779999,99.809998,99.809998,53583400,97.18682
2014-10-10,100.690002,102.029999,100.300003,100.730003,66331600,98.082646
2014-10-09,101.540001,102.379997,100.610001,101.019997,77376500,98.365018
2014-10-08,98.760002,101.110001,98.309998,100.800003,57404700,98.150806
2014-10-07,99.43,100.120003,98.730003,98.75,42094200,96.154681
2014-10-06,99.949997,100.650002,99.419998,99.620003,37051200,97.001818
2014-10-03,99.440002,100.209999,99.040001,99.620003,43469600,97.001818
2014-10-02,99.269997,100.220001,98.040001,99.900002,47757800,97.274458
2014-10-01,100.589996,100.690002,98.699997,99.18,51491300,96.57338
2014-09-30,100.809998,101.540001,100.529999,100.75,55264100,98.102117
2014-09-29,98.650002,100.440002,98.629997,100.110001,49766300,97.478938
2014-09-26,98.529999,100.75,98.400002,100.75,62370500,98.102117
2014-09-25,100.510002,100.709999,97.720001,97.870003,100092000,95.297811
2014-09-24,102.160004,102.849998,101.199997,101.75,60171800,99.075836
2014-09-23,100.599998,102.940002,100.540001,102.639999,63402200,99.942444
2014-09-22,101.800003,102.139999,100.580002,101.059998,52788400,98.403968
2014-09-19,102.290001,102.349998,100.50,100.959999,70902400,98.306597
2014-09-18,101.93,102.349998,101.559998,101.790001,37299400,99.114785
2014-09-17,101.269997,101.800003,100.589996,101.580002,60926500,98.910305
2014-09-16,99.800003,101.260002,98.889999,100.860001,66908100,98.209227
2014-09-15,102.809998,103.050003,101.440002,101.629997,61316500,98.958987
2014-09-12,101.209999,102.190002,101.080002,101.660004,62626100,98.988204
2014-09-11,100.410004,101.440002,99.620003,101.43,62353100,98.764246
2014-09-10,98.010002,101.110001,97.760002,101.00,100869600,98.345547
2014-09-09,99.080002,103.080002,96.139999,97.989998,189846300,95.414653
2014-09-08,99.300003,99.309998,98.050003,98.360001,46356700,95.774931
2014-09-05,98.800003,99.389999,98.309998,98.970001,58457000,96.3689
2014-09-04,98.849998,100.089996,97.790001,98.120003,85718000,95.541241
2014-09-03,103.099998,103.199997,98.580002,98.940002,125421000,96.33969
2014-09-02,103.059998,103.739998,102.720001,103.300003,53564000,100.585102
2014-08-29,102.860001,102.900002,102.199997,102.50,44595000,99.806124
2014-08-28,101.589996,102.779999,101.559998,102.25,68460000,99.562695
2014-08-27,101.019997,102.57,100.699997,102.129997,52369000,99.445846
2014-08-26,101.419998,101.50,100.860001,100.889999,33152000,98.238437
2014-08-25,101.790001,102.169998,101.279999,101.540001,40270000,98.871356
2014-08-22,100.290001,101.470001,100.190002,101.32,44184000,98.657136
2014-08-21,100.57,100.940002,100.110001,100.580002,33478000,97.936587
2014-08-20,100.440002,101.089996,99.949997,100.57,52699000,97.926848
2014-08-19,99.410004,100.68,99.32,100.529999,69399000,97.887898
2014-08-18,98.489998,99.370003,97.980003,99.160004,47572000,96.553909
2014-08-15,97.900002,98.190002,96.860001,97.980003,48951000,95.404921
2014-08-14,97.330002,97.57,96.800003,97.50,28116000,94.937533
2014-08-13,96.150002,97.239998,96.040001,97.239998,31916000,94.684364
2014-08-12,96.040001,96.879997,95.610001,95.970001,33795000,93.447745
2014-08-11,95.269997,96.080002,94.839996,95.989998,36585000,93.467216
2014-08-08,94.260002,94.82,93.279999,94.739998,41865000,92.250068
2014-08-07,94.93,95.949997,94.099998,94.480003,46711000,91.996907
2014-08-06,94.75,95.480003,94.709999,94.959999,38558000,92.006638
2014-08-05,95.360001,95.68,94.360001,95.120003,55933000,92.161665
2014-08-04,96.370003,96.580002,95.169998,95.589996,39958000,92.617042
2014-08-01,94.900002,96.620003,94.809998,96.129997,48511000,93.140248
2014-07-31,97.160004,97.449997,95.330002,95.599998,56843000,92.626733
2014-07-30,98.440002,98.699997,97.669998,98.150002,33010000,95.097428
2014-07-29,99.330002,99.440002,98.25,98.379997,43143000,95.32027
2014-07-28,97.82,99.239998,97.550003,99.019997,55318000,95.940365
2014-07-25,96.849998,97.839996,96.639999,97.669998,43469000,94.632353
2014-07-24,97.040001,97.32,96.419998,97.029999,45729000,94.012258
2014-07-23,95.419998,97.879997,95.169998,97.190002,92918000,94.167286
2014-07-22,94.68,94.889999,94.120003,94.720001,55197000,91.774104
2014-07-21,94.989998,95.00,93.720001,93.940002,39079000,91.018364
2014-07-18,93.620003,94.739998,93.019997,94.43,49988000,91.493123
2014-07-17,95.029999,95.279999,92.57,93.089996,57298000,90.194794
2014-07-16,96.970001,97.099998,94.739998,94.779999,53396300,91.832236
2014-07-15,96.800003,96.849998,95.029999,95.32,45477900,92.355442
2014-07-14,95.860001,96.889999,95.650002,96.449997,42810000,93.450295
2014-07-11,95.360001,95.889999,94.860001,95.220001,34018000,92.258554
2014-07-10,93.760002,95.550003,93.519997,95.040001,39686000,92.084152
2014-07-09,95.440002,95.949997,94.760002,95.389999,36436000,92.423265
2014-07-08,96.269997,96.800003,93.919998,95.349998,65222000,92.384508
2014-07-07,94.139999,95.989998,94.099998,95.970001,56468000,92.985228
2014-07-03,93.669998,94.099998,93.199997,94.029999,22891800,91.105562
2014-07-02,93.870003,94.059998,93.089996,93.480003,28465000,90.572672
2014-07-01,93.519997,94.07,93.129997,93.519997,38223000,90.611421
2014-06-30,92.099998,93.730003,92.089996,92.93,49482300,90.039774
2014-06-27,90.82,92.00,90.769997,91.980003,64029000,89.119323
2014-06-26,90.370003,91.050003,89.800003,90.900002,32629000,88.072911
2014-06-25,90.209999,90.699997,89.650002,90.360001,36869000,87.549705
2014-06-24,90.75,91.739998,90.190002,90.279999,39036000,87.472191
2014-06-23,91.32,91.620003,90.599998,90.830002,43694000,88.005088
2014-06-20,91.849998,92.550003,90.900002,90.910004,100898000,88.082602
2014-06-19,92.290001,92.300003,91.339996,91.860001,35528000,89.003053
2014-06-18,92.269997,92.290001,91.349998,92.18,33514000,89.3131
2014-06-17,92.309998,92.699997,91.800003,92.080002,29726000,89.216212
2014-06-16,91.510002,92.75,91.449997,92.199997,35561000,89.332475
2014-06-13,92.199997,92.440002,90.879997,91.279999,54525000,88.44109
2014-06-12,94.040001,94.120003,91.900002,92.290001,54749000,89.41968
2014-06-11,94.129997,94.760002,93.470001,93.860001,45681000,90.940851
2014-06-10,94.730003,95.050003,93.57,94.25,62777000,91.318721
2014-06-09,92.699997,93.879997,91.75,93.699997,75415000,90.785823
2014-06-06,649.900002,651.259979,644.470024,645.570023,87484600,89.356011
2014-06-05,646.199997,649.370003,642.610008,647.349983,75951400,89.602383
2014-06-04,637.44001,647.890022,636.109993,644.819992,83870500,89.252197
2014-06-03,628.459991,638.740013,628.25,637.539986,73177300,88.244541
2014-06-02,633.959984,634.830017,622.500015,628.650009,92337700,87.014043
2014-05-30,637.979996,644.169991,628.900002,633.000015,141005200,87.616145
2014-05-29,627.849991,636.87001,627.769989,635.37999,94118500,87.945567
2014-05-28,626.019989,629.830009,623.779991,624.01001,78870400,86.371801
2014-05-27,615.879997,625.859985,615.630005,625.63002,87216500,86.596033
2014-05-23,607.25,614.730011,606.470009,614.129997,58052400,85.004268
2014-05-22,606.599998,609.850006,604.100021,607.269974,50190000,84.054744
2014-05-21,603.830002,606.699974,602.059975,606.310005,49214900,83.92187
2014-05-20,604.510017,606.399994,600.730011,604.710022,58709000,83.70041
2014-05-19,597.849998,607.330002,597.329987,604.590019,79438800,83.6838
2014-05-16,588.629974,597.529991,585.399994,597.510017,69064100,82.703828
2014-05-15,594.70002,596.599983,588.040001,588.819992,57711500,81.501005
2014-05-14,592.430008,597.400002,591.740005,593.869987,41601000,82.199996
2014-05-13,591.999985,594.540016,590.699982,593.760025,39934300,82.184776
2014-05-12,587.489975,593.659996,587.399986,592.830017,53302200,82.05605
2014-05-09,584.540001,586.25,580.330025,585.540024,72899400,81.047012
2014-05-08,588.249992,594.410027,586.400017,587.990013,57574300,81.386125
2014-05-07,595.249992,597.289986,587.72998,592.329979,70716100,81.531455
2014-05-06,601.799995,604.409988,594.410027,594.410027,93641100,81.817764
2014-05-05,590.140022,600.999977,589.999992,600.959976,71766800,82.719334
2014-05-02,592.340019,594.199982,589.709999,592.580025,47878600,81.565873
2014-05-01,591.999985,594.799995,586.360016,591.480026,61012000,81.414463
2014-04-30,592.639999,599.430008,589.799988,590.089981,114160200,81.22313
2014-04-29,593.739998,595.979996,589.509995,592.329979,84344400,81.531455
2014-04-28,572.800026,595.749977,572.54998,594.090019,167371400,81.773717
2014-04-25,564.529984,571.990021,563.959984,571.93998,97568800,78.724867
2014-04-24,568.210014,570.000015,560.730003,567.770004,189977900,78.150889
